ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,97883,16.65%,15505
きのこ,78617,13.37%,6223
サツマイモ,76860,13.07%,6551
にんにく,74741,12.71%,6602
ジャガイモ,35694,6.07%,3293
その他野菜,34295,5.83%,6785
たまねぎ,31223,5.31%,3511
セット・詰め合わせ,28566,4.86%,2988
生姜,22744,3.87%,2062
トマト,15462,2.63%,1960
にんじん,15452,2.63%,1511
カット野菜,15239,2.59%,1674
その他,9554,1.62%,1950
かぼちゃ,7608,1.29%,1395
里芋,7436,1.26%,1003
ねぎ,6820,1.16%,1225
とうもろこし,5201,0.88%,955
山菜,4699,0.80%,717
ごぼう,3627,0.62%,846
大根,3143,0.53%,701
キャベツ,2697,0.46%,630
ほうれん草,2683,0.46%,621
水煮野菜,2191,0.37%,387
らっきょう,1309,0.22%,204
ナス,1102,0.19%,420
キュウリ,901,0.15%,212
アスパラガス,730,0.12%,181
白菜,661,0.11%,220
レタス,604,0.10%,245
ニラ,246,0.04%,85
