ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,370001,26.88%,127555
手帳・ノート・紙製品,198680,14.43%,87262
画材,106871,7.76%,34241
その他,105595,7.67%,23228
ギフトラッピング用品,88462,6.43%,56414
ファイル・バインダー,67894,4.93%,30057
ラベル・ステッカー,63897,4.64%,5257
写真整理用品,61458,4.47%,529
プレゼンテーション用品,60089,4.37%,10499
机上収納・整理用品,60015,4.36%,15090
書道用具,34134,2.48%,10715
はさみ・裁断用品,33558,2.44%,2041
セロハンテープ・のり・接着剤,33144,2.41%,2672
製図用品,16920,1.23%,6760
ブックカバー,15812,1.15%,5899
クリップ・結束用具,11259,0.82%,6114
ホッチキス・穴あきパンチ,9226,0.67%,2942
名札,8666,0.63%,0
マグネット,7088,0.51%,5303
紙幣計数機・コインカウンタ,5790,0.42%,364
マグネットシート,4860,0.35%,0
製本機,3315,0.24%,1062
画鋲・ピン,2818,0.20%,0
ブックマーク・しおり,1805,0.13%,1246
下敷き,1596,0.12%,1387
紙めくり・事務用スポンジ,1418,0.10%,0
チェックライター・ナンバーリング,1300,0.09%,0
タスキ・腕章,377,0.03%,0
レタースケール,365,0.03%,0
アルバム(1901削除),0,0.00%,12609
事務用品(1703削除),0,0.00%,51595
手帳・日記帳・家計簿(2202削除),0,0.00%,22706
