ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,29461,15.42%,25468
リボン,19610,10.26%,18147
その他,19111,10.00%,11654
手芸用テープ,15480,8.10%,0
ボタン,12996,6.80%,11907
ひも,12551,6.57%,8385
ファスナー,12085,6.33%,8922
レース,11928,6.24%,12078
ミシン糸,10757,5.63%,7728
接着テープ・接着芯,6885,3.60%,3871
ゴム,5580,2.92%,4216
持ち手・ハンドル,5356,2.80%,2678
口金,4369,2.29%,2616
ホック,3810,1.99%,2585
芯地,3695,1.93%,1471
面ファスナー,3500,1.83%,1437
手縫い糸,2960,1.55%,2620
ネームシール,2221,1.16%,1340
バックル,2119,1.11%,1975
ブレード,2077,1.09%,1639
型紙・パターン,1548,0.81%,0
チェーン,1100,0.58%,1108
スパンコール,1082,0.57%,1311
裏地,421,0.22%,335
マラボー,204,0.11%,167
肩パット,164,0.09%,213
フェルト(1703削除),0,0.00%,2822
