ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,78492,17.33%,14101
にんにく,67874,14.99%,6083
とうもろこし,62288,13.75%,3493
きのこ,32634,7.21%,4422
その他野菜,30329,6.70%,6215
サツマイモ,28819,6.36%,3351
たまねぎ,27822,6.14%,3076
セット・詰め合わせ,21881,4.83%,2359
ジャガイモ,19289,4.26%,2469
生姜,12939,2.86%,1724
トマト,11453,2.53%,1959
カット野菜,11331,2.50%,1539
にんじん,10828,2.39%,1252
その他,6043,1.33%,1658
かぼちゃ,4216,0.93%,849
ねぎ,4016,0.89%,951
山菜,3695,0.82%,560
ナス,3156,0.70%,710
アスパラガス,2332,0.51%,368
ごぼう,2027,0.45%,671
水煮野菜,1670,0.37%,318
らっきょう,1598,0.35%,237
キュウリ,1593,0.35%,373
キャベツ,1523,0.34%,501
ほうれん草,1505,0.33%,481
大根,1426,0.31%,540
里芋,938,0.21%,233
レタス,643,0.14%,244
白菜,330,0.07%,141
ニラ,219,0.05%,83
