ジャンル名,売上指数（千円）,シェア,商品ランク入り数
日用消耗品,4453272,29.31%,375337
文房具・事務用品,1543148,10.16%,496625
バス用品,1506379,9.92%,108820
手芸・クラフト・生地,1334233,8.78%,430896
生活雑貨,1230078,8.10%,174340
タオル,1215003,8.00%,81644
仏壇・仏具・神具,849191,5.59%,69804
掃除用品,516292,3.40%,76681
洗濯用品,480747,3.16%,48147
防犯関連グッズ,409867,2.70%,26199
防災関連グッズ,389362,2.56%,38789
その他,366379,2.41%,24922
印鑑・ハンコ,346504,2.28%,61018
旅行用品,270043,1.78%,24645
トイレ用品,232938,1.53%,23227
冠婚葬祭,41633,0.27%,12081
洋服ブラシ・毛玉取り,6356,0.04%,709
業務用品・サービス(1703削除),6,0.00%,0
