ジャンル名,売上指数（千円）,シェア,商品ランク入り数
リボン,20348,11.27%,19477
ワッペン・アップリケ,20045,11.11%,19162
ひも,16421,9.10%,9542
手芸用テープ,15846,8.78%,12142
ファスナー,14562,8.07%,10645
その他,13656,7.57%,7509
ミシン糸,10709,5.93%,6641
ボタン,10616,5.88%,10831
レース,10310,5.71%,11916
接着テープ・接着芯,7770,4.31%,3776
持ち手・ハンドル,5195,2.88%,2210
ゴム,4624,2.56%,3307
口金,4256,2.36%,2541
芯地,4077,2.26%,1478
ホック,3726,2.06%,2231
面ファスナー,3434,1.90%,1272
型紙・パターン,3423,1.90%,2498
手縫い糸,2808,1.56%,2972
バックル,2199,1.22%,2202
ブレード,1977,1.10%,1841
ネームシール,1094,0.61%,637
裏地,1058,0.59%,552
チェーン,1045,0.58%,912
スパンコール,953,0.53%,1346
肩パット,167,0.09%,107
マラボー,150,0.08%,79
