ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,59474,30.07%,8994
こめ油,30151,15.25%,2605
その他,17770,8.99%,3042
ココナッツオイル,17718,8.96%,2140
ごま油,16032,8.11%,3050
セット・詰め合わせ,14254,7.21%,2149
亜麻仁油,11186,5.66%,1287
えごま油,8542,4.32%,1360
なたね油・キャノーラ油,8089,4.09%,1434
サラダ油,6646,3.36%,582
グレープシードオイル,3824,1.93%,263
大豆油,1361,0.69%,155
椿油,665,0.34%,144
アボカドオイル,597,0.30%,157
ひまわり油,380,0.19%,171
べに花油,376,0.19%,157
トリュフオイル,359,0.18%,157
玄米油,144,0.07%,108
コーン油,110,0.06%,93
ピーナッツオイル,69,0.03%,101
マスタードオイル,18,0.01%,96
