ジャンル名,売上指数（千円）,シェア,商品ランク入り数
革,16372,39.90%,4949
金具・パーツ,13208,32.19%,9173
その他,7970,19.42%,2330
染料,2553,6.22%,1096
糸,932,2.27%,539
