ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,134153,22.73%,13129
防災セット・非常用持ちだし袋,75485,12.79%,2759
火災警報器・ガス警報器,72122,12.22%,4584
簡易トイレ,56676,9.60%,3233
その他,54493,9.23%,4806
消火器,31832,5.39%,2053
懐中電灯,25120,4.26%,4423
家具転倒防止用品,21324,3.61%,4002
保存水,16869,2.86%,1389
メガホン・拡声器,15316,2.59%,734
携帯用浄水器,14584,2.47%,578
防災ラジオ,11612,1.97%,903
携帯トイレ,8666,1.47%,1353
避難はしご,6666,1.13%,362
応急手当用品,6605,1.12%,917
簡易毛布・寝袋,5821,0.99%,1255
防災ヘルメット,5671,0.96%,576
固形燃料,5501,0.93%,740
給水用品,5447,0.92%,1153
土嚢,3863,0.65%,285
防災頭巾,3144,0.53%,735
ガソリン缶,3044,0.52%,358
担架,2491,0.42%,145
発熱・加熱剤,1354,0.23%,434
笛・ホイッスル,1118,0.19%,478
放射能測定器・ガイガーカウンター,674,0.11%,101
防災用ストーブ,603,0.10%,135
