ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,32433,14.22%,26407
リボン,26169,11.48%,21810
ひも,19104,8.38%,11793
手芸用テープ,18861,8.27%,13306
ファスナー,17859,7.83%,12068
その他,16923,7.42%,8627
ボタン,16848,7.39%,14902
ミシン糸,12133,5.32%,7590
レース,11625,5.10%,11979
接着テープ・接着芯,9198,4.03%,4268
芯地,5297,2.32%,1621
持ち手・ハンドル,5163,2.26%,2150
ゴム,4933,2.16%,3652
口金,4834,2.12%,2764
ホック,4534,1.99%,2724
面ファスナー,4205,1.84%,1421
型紙・パターン,3355,1.47%,2340
手縫い糸,3347,1.47%,2946
ブレード,2665,1.17%,2249
バックル,2582,1.13%,2250
ネームシール,1632,0.72%,857
スパンコール,1297,0.57%,1499
チェーン,1242,0.54%,903
裏地,1147,0.50%,733
マラボー,420,0.18%,151
肩パット,209,0.09%,154
