ジャンル名,売上指数（千円）,シェア,商品ランク入り数
さくらんぼ,263240,17.82%,8081
メロン,189237,12.81%,9418
桃,163813,11.09%,8200
マンゴー,133557,9.04%,5325
ブドウ,96071,6.50%,4704
みかん,93185,6.31%,6500
セット・詰め合わせ,86876,5.88%,4379
梅,84352,5.71%,5643
スイカ,66920,4.53%,4840
りんご,47585,3.22%,3180
ブルーベリー,35332,2.39%,1574
レモン,27586,1.87%,2634
その他,26816,1.82%,3159
和梨,20872,1.41%,1407
ライチ,20347,1.38%,989
パイナップル,14587,0.99%,1700
びわ,12630,0.86%,683
あんず,10848,0.73%,729
プラム,10467,0.71%,898
ザクロ,10417,0.71%,399
いちご,10343,0.70%,1513
オレンジ,9882,0.67%,1009
柿,9328,0.63%,770
キウイフルーツ,5112,0.35%,786
バナナ,3796,0.26%,720
パッションフルーツ,3330,0.23%,377
栗,2655,0.18%,478
グレープフルーツ,2646,0.18%,422
すだち,2630,0.18%,382
ドリアン,2207,0.15%,189
イチジク,2073,0.14%,316
アボカド,1728,0.12%,314
マンゴスチン,1662,0.11%,163
ドラゴンフルーツ,1523,0.10%,199
パパイヤ,1286,0.09%,231
ゆず,634,0.04%,184
洋梨,590,0.04%,162
じゃばら,517,0.03%,127
かぼす,197,0.01%,125
ミラクルフルーツ,115,0.01%,103
