ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,12698,30.34%,1600
ナマコ,4209,10.06%,313
クエ,2816,6.73%,157
エイ,2175,5.20%,403
アンコウ,2143,5.12%,279
カレイ,2008,4.80%,476
サメ,1534,3.67%,185
サワラ,1505,3.60%,126
カワハギ,1334,3.19%,346
ニシン,1216,2.91%,371
ノドグロ,1199,2.87%,199
ヒラメ,1189,2.84%,191
アユ,1026,2.45%,287
ハタハタ,948,2.27%,183
カンパチ,931,2.22%,98
タチウオ,771,1.84%,100
トビウオ,710,1.70%,199
クラゲ,567,1.35%,184
イワナ,550,1.31%,37
アカメ・メヒカリ,483,1.16%,98
ハモ,367,0.88%,43
カジキ,349,0.83%,61
マス,248,0.59%,61
キス,237,0.57%,98
コイ,217,0.52%,77
サヨリ,147,0.35%,36
カサゴ,89,0.21%,14
スズキ,72,0.17%,17
カマス,32,0.08%,24
イサキ,21,0.05%,8
メバル,15,0.04%,10
コチ,13,0.03%,6
アイナメ,11,0.03%,5
アラ,10,0.02%,5
オコゼ,8,0.02%,2
ヤマメ,2,0.00%,1
