ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ブドウ,249886,22.85%,11433
桃,160188,14.65%,8577
和梨,134917,12.34%,7604
セット・詰め合わせ,89008,8.14%,4459
メロン,81870,7.49%,4418
スイカ,63857,5.84%,3345
りんご,48407,4.43%,3555
みかん,47903,4.38%,4180
マンゴー,35283,3.23%,2221
レモン,20709,1.89%,2067
ブルーベリー,20591,1.88%,1361
その他,20024,1.83%,3029
柿,18021,1.65%,1704
プラム,13530,1.24%,752
栗,12811,1.17%,1180
イチジク,9966,0.91%,932
いちご,9079,0.83%,1183
ザクロ,7762,0.71%,422
パイナップル,6299,0.58%,860
梅,6172,0.56%,908
洋梨,5005,0.46%,493
すだち,4773,0.44%,530
キウイフルーツ,3420,0.31%,511
バナナ,3288,0.30%,559
オレンジ,3125,0.29%,381
グレープフルーツ,2315,0.21%,379
かぼす,1852,0.17%,245
ライチ,1826,0.17%,189
ドラゴンフルーツ,1770,0.16%,263
パッションフルーツ,1552,0.14%,156
さくらんぼ,1471,0.13%,145
ドリアン,1357,0.12%,124
アボカド,1297,0.12%,289
ゆず,1283,0.12%,188
パパイヤ,835,0.08%,174
あんず,720,0.07%,156
びわ,473,0.04%,95
じゃばら,367,0.03%,63
マンゴスチン,268,0.02%,18
ミラクルフルーツ,105,0.01%,22
