ジャンル名,売上指数（千円）,シェア,商品ランク入り数
機内リラックスグッズ,89489,35.17%,10120
トラベルポーチ・パッキングオーガナイザー,68825,27.05%,5369
旅行用変圧器・変換プラグ,25430,9.99%,1991
旅行用小分け容器,25193,9.90%,2814
セキュリティポーチ,14504,5.70%,1780
シューズバッグ,11284,4.43%,266
その他,10426,4.10%,2642
パスポートカバー,9330,3.67%,1457
