ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,157074,24.86%,15211
防災セット・非常用持ちだし袋,123620,19.57%,3392
簡易トイレ,64801,10.26%,3292
その他,57098,9.04%,4827
火災警報器・ガス警報器,34506,5.46%,2843
保存水,24927,3.95%,1663
消火器,23655,3.74%,1782
携帯用浄水器,22257,3.52%,883
家具転倒防止用品,21072,3.34%,4395
懐中電灯,19799,3.13%,4168
防災ラジオ,13922,2.20%,1152
応急手当用品,12106,1.92%,1256
メガホン・拡声器,9889,1.57%,895
給水用品,7878,1.25%,1451
携帯トイレ,7391,1.17%,1195
防災ヘルメット,6047,0.96%,696
土嚢,5021,0.79%,448
避難はしご,4772,0.76%,357
簡易毛布・寝袋,4355,0.69%,1056
固形燃料,4026,0.64%,504
ガソリン缶,2396,0.38%,344
笛・ホイッスル,1529,0.24%,616
発熱・加熱剤,1065,0.17%,355
担架,1038,0.16%,126
防災頭巾,765,0.12%,245
放射能測定器・ガイガーカウンター,440,0.07%,122
防災用ストーブ,370,0.06%,95
カセットコンロ(1703削除),0,0.00%,4519
ハンディー機(1801削除),0,0.00%,2613
保護マスク(2106削除),0,0.00%,3090
