ジャンル名,売上指数（千円）,シェア,商品ランク入り数
たけのこ,12661,28.73%,1193
その他,8875,20.14%,2062
山芋・自然薯,5189,11.77%,738
ブロッコリー,3985,9.04%,769
菊芋,3553,8.06%,495
行者にんにく,2819,6.40%,274
れんこん,1561,3.54%,525
カリフラワー,1126,2.55%,185
明日葉,921,2.09%,146
小松菜,745,1.69%,294
オクラ,566,1.28%,209
ゴーヤー,425,0.96%,116
ピーマン,399,0.91%,230
大葉・しそ,369,0.84%,158
セロリ,262,0.59%,114
かぶ,132,0.30%,65
銀杏,99,0.23%,28
パセリ,95,0.22%,62
エシャロット,92,0.21%,36
ヤーコン,59,0.13%,15
パクチー・コリアンダー,55,0.13%,27
春菊,49,0.11%,37
水菜,32,0.07%,33
ルッコラ,5,0.01%,4
