ジャンル名,売上指数（千円）,シェア,商品ランク入り数
道具・キット,306718,21.76%,95486
裁縫材料,260251,18.46%,156431
生地・布,222070,15.75%,30000
アクセサリークラフト材料,138678,9.84%,84640
毛糸,138255,9.81%,23925
その他,80892,5.74%,20321
レジン液,71461,5.07%,5399
レザークラフト材料,46313,3.29%,18102
ビーズ・ストーン,40628,2.88%,28658
着色剤,24506,1.74%,4134
陶芸,21829,1.55%,4957
はぎれ・カットクロス,21734,1.54%,7347
手芸材料セット,13007,0.92%,3270
刺繍材料,11636,0.83%,6953
フェルト,4696,0.33%,2741
編機・織機,3252,0.23%,357
パッチワーク・キルティング材料,2109,0.15%,819
タイル,1554,0.11%,502
ビーズクラフト道具(1703削除),1,0.00%,0
