ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,425319,30.18%,10672
入浴剤,275357,19.54%,26680
バスマット,105775,7.51%,10777
その他,100164,7.11%,12068
ソープボトル・シャンプーボトル,88342,6.27%,8296
整理棚・ラック,82765,5.87%,8886
椅子,58556,4.16%,4995
自動ソープディスペンサー,54711,3.88%,2193
風呂ふた,46237,3.28%,4028
タオルハンガー,45345,3.22%,5694
ボディタオル,22885,1.62%,6440
洗面器・風呂桶,21251,1.51%,2712
サウナハット,13540,0.96%,529
セット,11516,0.82%,963
石けんケース・石けん台,10858,0.77%,2983
浴槽・浴室内マット,10544,0.75%,1516
ボディスポンジ,9065,0.64%,2133
バス保温器,7807,0.55%,263
ボディブラシ,7230,0.51%,1858
シャワーカーテン,4075,0.29%,1120
シャワーヘッドホルダー・シャワーフック,3439,0.24%,681
バスピロー,1868,0.13%,367
バスブーツ,858,0.06%,234
軽石,843,0.06%,327
泡立てネット,722,0.05%,273
バスラジオ(1703削除),0,0.00%,144
ヘアバンド(2002削除),0,0.00%,2308
