ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,7984,29.13%,2031
山芋・自然薯,4622,16.86%,756
ブロッコリー,2449,8.94%,536
菊芋,2130,7.77%,407
れんこん,1739,6.34%,523
カリフラワー,1218,4.44%,228
たけのこ,1160,4.23%,274
銀杏,1109,4.05%,197
ゴーヤー,965,3.52%,220
小松菜,819,2.99%,347
オクラ,637,2.32%,269
明日葉,590,2.15%,125
かぶ,464,1.69%,142
セロリ,411,1.50%,152
ピーマン,347,1.26%,240
大葉・しそ,189,0.69%,154
行者にんにく,167,0.61%,111
ヤーコン,107,0.39%,106
エシャロット,86,0.31%,127
パクチー・コリアンダー,79,0.29%,136
パセリ,46,0.17%,221
春菊,35,0.13%,113
水菜,33,0.12%,114
ルッコラ,22,0.08%,133
