ジャンル名,売上指数（千円）,シェア,商品ランク入り数
さくらんぼ,229365,19.78%,6132
みかん,135244,11.66%,9196
梅,109313,9.43%,5076
マンゴー,103778,8.95%,4153
メロン,99308,8.57%,5817
セット・詰め合わせ,93860,8.10%,4311
りんご,69610,6.00%,3647
桃,38426,3.31%,3381
スイカ,33449,2.88%,2781
ブルーベリー,29882,2.58%,1556
その他,28683,2.47%,3050
ブドウ,22854,1.97%,1625
レモン,21109,1.82%,2689
いちご,20345,1.75%,2273
ライチ,18734,1.62%,803
柿,15468,1.33%,784
びわ,14137,1.22%,1012
パイナップル,10537,0.91%,1373
オレンジ,9764,0.84%,1038
キウイフルーツ,8949,0.77%,795
和梨,8166,0.70%,579
あんず,5699,0.49%,522
栗,4524,0.39%,552
ザクロ,4246,0.37%,365
バナナ,4082,0.35%,600
プラム,3256,0.28%,350
パッションフルーツ,3235,0.28%,370
グレープフルーツ,2308,0.20%,393
すだち,2218,0.19%,317
アボカド,1721,0.15%,402
マンゴスチン,1419,0.12%,144
ゆず,1377,0.12%,249
パパイヤ,1187,0.10%,225
ドリアン,995,0.09%,154
ドラゴンフルーツ,718,0.06%,124
イチジク,607,0.05%,150
じゃばら,601,0.05%,102
ミラクルフルーツ,97,0.01%,22
洋梨,84,0.01%,21
かぼす,83,0.01%,17
