ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ゴミ袋,84054,45.98%,13718
レジ袋・ビニール袋,36247,19.83%,10116
紙袋・手提げ袋,24374,13.33%,8181
その他,22278,12.19%,4027
チャック付ポリ袋,15105,8.26%,3475
傘袋,757,0.41%,291
