ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ダイエット紅茶,17281,38.26%,1655
その他,16658,36.89%,1621
ダイエット緑茶,8545,18.92%,715
ダイエットフルーツ茶,2678,5.93%,371
