ジャンル名,売上指数（千円）,シェア,商品ランク入り数
蒲焼き,853056,48.65%,14158
丼,327469,18.68%,5770
みそ汁,123039,7.02%,10596
セット・詰め合わせ,83355,4.75%,5731
佃煮,57687,3.29%,10925
お茶漬け,54182,3.09%,3405
その他,48329,2.76%,8374
唐揚げ,33507,1.91%,1503
雑炊,19147,1.09%,1208
刺身・たたき,15442,0.88%,1105
焼豚,15229,0.87%,1121
煮物,13068,0.75%,2541
おにぎり,11831,0.67%,1266
焼き鳥・つくね,11717,0.67%,1385
お粥,11459,0.65%,2140
寿司,11208,0.64%,1801
ひつまぶし,10682,0.61%,601
白焼き,9929,0.57%,695
お好み焼き,9240,0.53%,1184
おこわ,8531,0.49%,924
焼き魚,7425,0.42%,478
お吸い物,6676,0.38%,999
たこ焼き,4473,0.26%,767
おでん,1889,0.11%,401
茶碗蒸し,1546,0.09%,224
天ぷら,1303,0.07%,488
赤飯,1034,0.06%,243
天かす・揚げ玉,438,0.02%,147
卵焼き,263,0.02%,107
もんじゃ焼き,155,0.01%,98
おひたし,21,0.00%,75
なます・酢の物,0,0.00%,75
卯の花,0,0.00%,100
