ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,18733,78.08%,4517
柚子胡椒,3471,14.47%,1109
ガラム・マサラ,1188,4.95%,567
ごましお,315,1.31%,205
シナモンシュガー,255,1.06%,185
ブーケガルニ,29,0.12%,98
