ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,32464,15.00%,25564
リボン,23060,10.65%,19691
手芸用テープ,19020,8.79%,13207
ひも,18763,8.67%,12040
ファスナー,17877,8.26%,12254
その他,16050,7.41%,8603
ボタン,14406,6.65%,13710
ミシン糸,11829,5.46%,7265
レース,10903,5.04%,11510
接着テープ・接着芯,8514,3.93%,3956
芯地,4915,2.27%,1473
口金,4471,2.07%,2455
ゴム,4341,2.01%,3360
持ち手・ハンドル,4334,2.00%,2013
ホック,3967,1.83%,2465
面ファスナー,3832,1.77%,1441
手縫い糸,3518,1.63%,2865
ネームシール,3156,1.46%,1246
型紙・パターン,3073,1.42%,2071
バックル,2227,1.03%,2089
ブレード,2176,1.01%,2004
チェーン,1164,0.54%,885
スパンコール,1031,0.48%,1393
裏地,908,0.42%,597
マラボー,276,0.13%,80
肩パット,195,0.09%,133
