ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,80578,15.78%,15381
にんにく,66563,13.04%,5943
サツマイモ,43357,8.49%,4581
たまねぎ,41543,8.14%,3836
その他野菜,41374,8.10%,8551
アスパラガス,34594,6.77%,2825
セット・詰め合わせ,23553,4.61%,2769
トマト,22442,4.40%,3399
ジャガイモ,21753,4.26%,3000
生姜,18999,3.72%,1927
きのこ,18905,3.70%,4241
山菜,17126,3.35%,2505
とうもろこし,15309,3.00%,1838
にんじん,13905,2.72%,1691
カット野菜,12904,2.53%,1677
その他,8051,1.58%,2006
らっきょう,7672,1.50%,891
ねぎ,4601,0.90%,1139
かぼちゃ,3613,0.71%,731
ごぼう,2938,0.58%,860
水煮野菜,2197,0.43%,362
キャベツ,1940,0.38%,637
ほうれん草,1934,0.38%,628
里芋,1036,0.20%,285
大根,1028,0.20%,466
ナス,890,0.17%,320
キュウリ,781,0.15%,247
レタス,562,0.11%,278
白菜,319,0.06%,180
ニラ,161,0.03%,119
