ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,157988,22.28%,13812
簡易トイレ,131638,18.57%,4096
防災セット・非常用持ちだし袋,83733,11.81%,2858
火災警報器・ガス警報器,54034,7.62%,3445
その他,48998,6.91%,4461
消火器,30649,4.32%,1945
家具転倒防止用品,27417,3.87%,4652
保存水,27363,3.86%,1385
携帯用浄水器,26698,3.77%,857
懐中電灯,19382,2.73%,3653
防災ラジオ,16290,2.30%,997
メガホン・拡声器,14404,2.03%,1089
携帯トイレ,12241,1.73%,1471
応急手当用品,9531,1.34%,1318
避難はしご,6808,0.96%,420
給水用品,6743,0.95%,1208
防災ヘルメット,6735,0.95%,735
土嚢,6487,0.91%,464
固形燃料,6125,0.86%,705
簡易毛布・寝袋,5899,0.83%,1066
笛・ホイッスル,2436,0.34%,812
ガソリン缶,2189,0.31%,298
担架,1708,0.24%,79
発熱・加熱剤,1422,0.20%,384
防災頭巾,1322,0.19%,322
放射能測定器・ガイガーカウンター,468,0.07%,32
防災用ストーブ,334,0.05%,5
