ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,25113,13.16%,21846
リボン,21120,11.07%,18404
その他,17934,9.40%,8784
手芸用テープ,16369,8.58%,12004
ひも,15436,8.09%,9088
ボタン,14190,7.44%,13245
ファスナー,11960,6.27%,8463
ミシン糸,10867,5.70%,6774
レース,9311,4.88%,10097
接着テープ・接着芯,7368,3.86%,3547
持ち手・ハンドル,5219,2.74%,2239
口金,4784,2.51%,2375
ゴム,4612,2.42%,3419
ホック,4331,2.27%,2660
面ファスナー,3667,1.92%,1282
芯地,3204,1.68%,1168
手縫い糸,2962,1.55%,2630
型紙・パターン,2747,1.44%,1800
ブレード,2514,1.32%,1840
バックル,2060,1.08%,1863
ネームシール,1745,0.91%,965
チェーン,1201,0.63%,1027
スパンコール,1018,0.53%,1324
裏地,615,0.32%,382
マラボー,326,0.17%,166
肩パット,98,0.05%,167
