ジャンル名,売上指数（千円）,シェア,商品ランク入り数
セット・詰め合わせ,36941,35.72%,2106
かまぼこ,25443,24.61%,2647
さつまあげ,17645,17.06%,2334
笹かまぼこ,13909,13.45%,1614
その他,2513,2.43%,605
魚肉ソーセージ,2251,2.18%,436
ちくわ,2238,2.16%,436
じゃこ天,1137,1.10%,186
しんじょ,601,0.58%,149
はんぺん,508,0.49%,185
紅白かまぼこ,117,0.11%,99
伊達巻,102,0.10%,101
