ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,141702,20.40%,12544
火災警報器・ガス警報器,106734,15.37%,6421
防災セット・非常用持ちだし袋,88971,12.81%,3112
簡易トイレ,71418,10.28%,4167
その他,68112,9.81%,5218
消火器,37410,5.39%,2494
懐中電灯,32088,4.62%,5410
家具転倒防止用品,24906,3.59%,4892
防災ラジオ,18081,2.60%,1102
保存水,17646,2.54%,1279
メガホン・拡声器,13680,1.97%,847
携帯用浄水器,12692,1.83%,660
簡易毛布・寝袋,8029,1.16%,1400
携帯トイレ,7860,1.13%,1457
避難はしご,7803,1.12%,508
固形燃料,5819,0.84%,826
土嚢,5112,0.74%,361
給水用品,5083,0.73%,1033
防災ヘルメット,5032,0.72%,603
応急手当用品,4858,0.70%,872
ガソリン缶,3524,0.51%,579
笛・ホイッスル,2202,0.32%,727
担架,1866,0.27%,91
発熱・加熱剤,1722,0.25%,499
防災頭巾,1541,0.22%,396
防災用ストーブ,339,0.05%,6
放射能測定器・ガイガーカウンター,326,0.05%,24
