ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,74928,43.32%,4806
マルチ酵素,40308,23.30%,1872
コエンザイムQ10,35684,20.63%,3265
SOD,14964,8.65%,745
アルファリポ酸,7076,4.09%,820
