ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,106706,22.57%,10595
火災警報器・ガス警報器,55428,11.72%,3309
防災セット・非常用持ちだし袋,51975,10.99%,2037
簡易トイレ,37103,7.85%,2521
その他,36878,7.80%,3607
消火器,30795,6.51%,1670
懐中電灯,25426,5.38%,3871
保存水,16320,3.45%,1304
家具転倒防止用品,14805,3.13%,3098
防災ラジオ,12295,2.60%,826
メガホン・拡声器,11873,2.51%,791
応急手当用品,11190,2.37%,1299
携帯用浄水器,10615,2.25%,449
土嚢,9161,1.94%,558
避難はしご,7526,1.59%,306
給水用品,7204,1.52%,980
携帯トイレ,5920,1.25%,904
防災ヘルメット,4370,0.92%,470
固形燃料,3321,0.70%,426
担架,2757,0.58%,88
簡易毛布・寝袋,2580,0.55%,569
放射能測定器・ガイガーカウンター,2252,0.48%,71
ガソリン缶,2232,0.47%,280
防災頭巾,1808,0.38%,472
笛・ホイッスル,1126,0.24%,475
発熱・加熱剤,626,0.13%,194
防災用ストーブ,534,0.11%,11
