ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,16108,32.40%,1756
ナマコ,6855,13.79%,220
アユ,3133,6.30%,687
カンパチ,2822,5.67%,195
ハモ,2111,4.25%,314
エイ,1977,3.98%,379
ノドグロ,1815,3.65%,274
カレイ,1639,3.30%,449
サメ,1497,3.01%,178
サワラ,1419,2.85%,121
カワハギ,1308,2.63%,332
ヒラメ,1247,2.51%,153
クエ,1023,2.06%,85
トビウオ,1018,2.05%,226
ニシン,1006,2.02%,363
アカメ・メヒカリ,927,1.86%,136
クラゲ,661,1.33%,207
アンコウ,582,1.17%,110
ハタハタ,581,1.17%,98
イワナ,511,1.03%,46
キス,349,0.70%,125
コイ,249,0.50%,75
タチウオ,245,0.49%,59
カジキ,206,0.42%,49
マス,135,0.27%,35
スズキ,65,0.13%,15
カマス,63,0.13%,40
オコゼ,42,0.08%,17
コチ,32,0.06%,8
メバル,31,0.06%,12
カサゴ,24,0.05%,8
サヨリ,21,0.04%,8
イサキ,13,0.03%,7
アラ,5,0.01%,3
ヤマメ,2,0.00%,1
