ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,10617,29.95%,1639
ノドグロ,3789,10.69%,398
カンパチ,3286,9.27%,182
アユ,2119,5.98%,603
ナマコ,1845,5.20%,182
サメ,1698,4.79%,288
エイ,1696,4.78%,375
ハモ,1504,4.24%,272
カレイ,1418,4.00%,471
ニシン,1072,3.02%,369
カワハギ,776,2.19%,284
クエ,750,2.11%,146
ヒラメ,620,1.75%,165
クラゲ,619,1.75%,236
トビウオ,522,1.47%,225
ハタハタ,427,1.20%,190
マス,371,1.05%,169
アンコウ,332,0.94%,131
サワラ,317,0.89%,226
カジキ,250,0.70%,118
アカメ・メヒカリ,246,0.69%,139
イワナ,245,0.69%,120
キス,234,0.66%,175
コイ,198,0.56%,125
タチウオ,135,0.38%,167
サヨリ,63,0.18%,140
メバル,54,0.15%,110
カマス,48,0.14%,135
コチ,39,0.11%,99
イサキ,37,0.10%,103
オコゼ,37,0.10%,228
ヤマメ,35,0.10%,101
スズキ,27,0.08%,102
カサゴ,18,0.05%,101
アイナメ,10,0.03%,126
ブリ(1409削除),0,0.00%,519
