ジャンル名,売上指数（千円）,シェア,商品ランク入り数
入浴剤,380980,25.47%,26985
シャワーヘッド,334969,22.39%,8473
ソープボトル・シャンプーボトル,109627,7.33%,7954
その他,107721,7.20%,9501
整理棚・ラック,94254,6.30%,8335
バスマット,81118,5.42%,7747
風呂ふた,67262,4.50%,3405
椅子,56837,3.80%,4299
自動ソープディスペンサー,55429,3.71%,2107
タオルハンガー,47181,3.15%,5696
ボディタオル,24286,1.62%,5656
サウナハット,23780,1.59%,2020
浴槽・浴室内マット,19333,1.29%,2007
バス保温器,18413,1.23%,410
石けんケース・石けん台,13908,0.93%,2852
ボディブラシ,13511,0.90%,1411
洗面器・風呂桶,11045,0.74%,2205
セット,8924,0.60%,753
ボディスポンジ,7979,0.53%,1666
シャワーヘッドホルダー・シャワーフック,7603,0.51%,1393
シャワーカーテン,5015,0.34%,1046
バスピロー,3495,0.23%,486
泡立てネット,1239,0.08%,452
バスブーツ,1160,0.08%,259
軽石,692,0.05%,266
