ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1884796,24.70%,42180
その他,1361163,17.84%,31000
植物性エキス,728233,9.54%,50230
ビタミン,604685,7.92%,40984
アミノ酸,546422,7.16%,24869
ファイトケミカル,546345,7.16%,14569
プロバイオティクス,280697,3.68%,12607
ミネラル,273890,3.59%,24303
酵素,256892,3.37%,12873
コラーゲン,211883,2.78%,11783
脂肪酸・オイル,209948,2.75%,11794
プラセンタ,136358,1.79%,4629
食物繊維,128130,1.68%,7450
ビタミン・ミネラル混合,89567,1.17%,2653
グルコサミン・コンドロイチン,80433,1.05%,5096
動物性エキス,61241,0.80%,4592
オリゴ糖,42015,0.55%,2580
クエン酸,39579,0.52%,3506
ラクトフェリン,37594,0.49%,1005
ヒアルロン酸,27149,0.36%,1534
ローヤルゼリー,23933,0.31%,1291
プロポリス,21896,0.29%,2368
ミドリムシ,19014,0.25%,1070
動植物性混合エキス,12961,0.17%,1292
核酸,5643,0.07%,467
