ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,448728,27.26%,6093
蒲焼き,289907,17.61%,8333
みそ汁,162639,9.88%,13624
セット・詰め合わせ,144381,8.77%,8453
お茶漬け,117341,7.13%,4678
佃煮,87859,5.34%,14998
その他,84620,5.14%,11133
寿司,41222,2.50%,4093
焼豚,30080,1.83%,2028
刺身・たたき,28924,1.76%,1669
唐揚げ,26293,1.60%,1929
雑炊,24744,1.50%,1746
お吸い物,23311,1.42%,1899
煮物,19109,1.16%,3972
おでん,16425,1.00%,1700
焼き鳥・つくね,14305,0.87%,1697
お粥,14302,0.87%,2495
お好み焼き,13804,0.84%,1335
おにぎり,12420,0.75%,1451
おこわ,10516,0.64%,1183
焼き魚,9346,0.57%,591
ひつまぶし,7390,0.45%,379
たこ焼き,4795,0.29%,887
白焼き,4091,0.25%,460
茶碗蒸し,3678,0.22%,453
天ぷら,2632,0.16%,693
赤飯,1745,0.11%,387
卵焼き,682,0.04%,192
天かす・揚げ玉,449,0.03%,90
なます・酢の物,137,0.01%,25
もんじゃ焼き,130,0.01%,19
おひたし,48,0.00%,6
卯の花,27,0.00%,4
