ジャンル名,売上指数（千円）,シェア,商品ランク入り数
もつ鍋,21158,56.76%,1736
その他,8309,22.29%,863
水炊き,4915,13.19%,415
すき焼き,1059,2.84%,139
きりたんぽ鍋,1014,2.72%,194
キムチ鍋,506,1.36%,165
ちゃんこ鍋,235,0.63%,34
石狩鍋,79,0.21%,14
