ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,62570,28.07%,7173
こめ油,44777,20.09%,2846
ココナッツオイル,22842,10.25%,2072
ごま油,20401,9.15%,2800
亜麻仁油,17154,7.70%,1277
その他,15930,7.15%,2424
なたね油・キャノーラ油,10259,4.60%,1262
えごま油,8691,3.90%,1097
サラダ油,7423,3.33%,449
グレープシードオイル,3703,1.66%,192
セット・詰め合わせ,3077,1.38%,467
大豆油,2785,1.25%,176
椿油,677,0.30%,80
トリュフオイル,652,0.29%,129
アボカドオイル,633,0.28%,92
ひまわり油,595,0.27%,95
べに花油,467,0.21%,64
ピーナッツオイル,119,0.05%,19
玄米油,115,0.05%,12
コーン油,34,0.02%,10
マスタードオイル,12,0.01%,6
