ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,90575,22.03%,11240
防災セット・非常用持ちだし袋,63281,15.39%,2587
その他,40340,9.81%,4393
簡易トイレ,37662,9.16%,2746
火災警報器・ガス警報器,31186,7.59%,2864
消火器,18025,4.38%,0
携帯用浄水器,16370,3.98%,763
懐中電灯,16097,3.92%,3929
家具転倒防止用品,15463,3.76%,3928
保存水,14319,3.48%,1336
応急手当用品,13090,3.18%,1396
防災ラジオ,9397,2.29%,956
メガホン・拡声器,8722,2.12%,837
給水用品,6300,1.53%,1372
土嚢,5616,1.37%,490
避難はしご,4895,1.19%,360
携帯トイレ,4654,1.13%,1072
防災ヘルメット,4130,1.00%,566
簡易毛布・寝袋,2752,0.67%,795
固形燃料,2431,0.59%,442
ガソリン缶,1788,0.43%,312
担架,1110,0.27%,0
笛・ホイッスル,928,0.23%,523
防災頭巾,844,0.21%,0
発熱・加熱剤,594,0.14%,287
防災用ストーブ,341,0.08%,97
放射能測定器・ガイガーカウンター,166,0.04%,106
保護マスク(2106削除),0,0.00%,3723
保護用品(1703削除),0,0.00%,372
消火用品(1703削除),0,0.00%,1681
災害救助用品(1703削除),0,0.00%,128
