ジャンル名,売上指数（千円）,シェア,商品ランク入り数
みかん,551477,44.64%,25022
りんご,248574,20.12%,15989
柿,114920,9.30%,9073
セット・詰め合わせ,55022,4.45%,3690
洋梨,38239,3.10%,3152
ブドウ,34962,2.83%,2980
マンゴー,29239,2.37%,579
いちご,22170,1.79%,2368
栗,20190,1.63%,1719
和梨,18610,1.51%,1663
その他,16532,1.34%,2669
メロン,15008,1.21%,1078
ブルーベリー,13828,1.12%,1052
レモン,12747,1.03%,2473
オレンジ,5418,0.44%,395
グレープフルーツ,5213,0.42%,449
キウイフルーツ,4485,0.36%,800
ザクロ,3925,0.32%,266
桃,2712,0.22%,344
ゆず,2636,0.21%,501
スイカ,2603,0.21%,275
バナナ,2286,0.19%,493
すだち,1897,0.15%,321
梅,1832,0.15%,499
イチジク,1763,0.14%,281
アボカド,1660,0.13%,305
パイナップル,1633,0.13%,345
かぼす,1234,0.10%,225
びわ,785,0.06%,157
さくらんぼ,782,0.06%,160
パパイヤ,649,0.05%,149
ドリアン,597,0.05%,137
じゃばら,535,0.04%,153
ドラゴンフルーツ,502,0.04%,134
あんず,373,0.03%,156
ライチ,256,0.02%,143
ミラクルフルーツ,70,0.01%,98
プラム,27,0.00%,144
パッションフルーツ,0,0.00%,90
マンゴスチン,0,0.00%,90
