ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,363493,26.57%,126036
手帳・ノート・紙製品,234650,17.15%,106001
画材,98536,7.20%,32248
ギフトラッピング用品,87922,6.43%,52569
ファイル・バインダー,79795,5.83%,28773
机上収納・整理用品,64111,4.69%,15167
ラベル・ステッカー,62130,4.54%,33106
その他,61760,4.51%,19677
写真整理用品,61739,4.51%,11956
プレゼンテーション用品,59073,4.32%,7968
セロハンテープ・のり・接着剤,34947,2.55%,15312
書道用具,34110,2.49%,9644
はさみ・裁断用品,30509,2.23%,9221
ブックカバー,20559,1.50%,5603
製図用品,13449,0.98%,5661
クリップ・結束用具,12261,0.90%,6997
名札,8842,0.65%,3599
ホッチキス・穴あきパンチ,8118,0.59%,3153
紙幣計数機・コインカウンタ,7060,0.52%,309
マグネット,6356,0.46%,3559
マグネットシート,6109,0.45%,1248
製本機,2613,0.19%,579
画鋲・ピン,2537,0.19%,1206
チェックライター・ナンバーリング,1999,0.15%,253
ブックマーク・しおり,1925,0.14%,1346
紙めくり・事務用スポンジ,1354,0.10%,1099
下敷き,1309,0.10%,1146
タスキ・腕章,575,0.04%,179
レタースケール,408,0.03%,126
