ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1727415,23.85%,38766
その他,1265418,17.47%,31000
ビタミン,693846,9.58%,39145
植物性エキス,640100,8.84%,48578
ファイトケミカル,602765,8.32%,15041
アミノ酸,507678,7.01%,24632
ミネラル,307463,4.25%,25075
プロバイオティクス,249035,3.44%,11740
コラーゲン,200284,2.77%,11049
脂肪酸・オイル,198021,2.73%,11081
酵素,174070,2.40%,11387
食物繊維,120472,1.66%,7085
グルコサミン・コンドロイチン,86775,1.20%,4708
プラセンタ,84723,1.17%,4132
ビタミン・ミネラル混合,77272,1.07%,2925
動物性エキス,67082,0.93%,4326
クエン酸,55139,0.76%,3599
ラクトフェリン,33555,0.46%,1007
オリゴ糖,29197,0.40%,2232
プロポリス,27825,0.38%,2554
ローヤルゼリー,26194,0.36%,1255
ヒアルロン酸,22067,0.30%,1612
動植物性混合エキス,19994,0.28%,1231
ミドリムシ,19342,0.27%,953
核酸,6695,0.09%,429
