ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,71517,34.04%,6955
こめ油,34711,16.52%,2898
ごま油,19691,9.37%,2889
ココナッツオイル,17709,8.43%,1887
亜麻仁油,16154,7.69%,1413
その他,13523,6.44%,2300
なたね油・キャノーラ油,10065,4.79%,1363
セット・詰め合わせ,7426,3.54%,1036
えごま油,6348,3.02%,1063
サラダ油,4489,2.14%,488
グレープシードオイル,3655,1.74%,214
大豆油,1476,0.70%,134
ひまわり油,852,0.41%,146
トリュフオイル,580,0.28%,119
玄米油,496,0.24%,82
べに花油,436,0.21%,58
アボカドオイル,427,0.20%,71
椿油,369,0.18%,53
ピーナッツオイル,80,0.04%,20
マスタードオイル,42,0.02%,17
コーン油,22,0.01%,6
