ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,174410,29.40%,29168
その他,148309,25.00%,15382
モップ,44312,7.47%,4945
ほうき,30361,5.12%,4191
フローリングワックス,29705,5.01%,2178
フロアワイパー・ダスター本体,27951,4.71%,3746
雑巾・テーブルダスター,24043,4.05%,4039
ガラス・サッシ掃除用具,23189,3.91%,3382
粘着式クリーナー,17259,2.91%,3058
フロアワイパー・ダスター取替シート,16707,2.82%,2956
バケツ,14889,2.51%,2465
使い捨てクロス,12534,2.11%,2085
はたき,12069,2.03%,1202
トイレポット,8396,1.42%,936
スプレーボトル,3920,0.66%,1053
ちりとり,2907,0.49%,757
ラバーカップ,1458,0.25%,315
モップ絞り器,865,0.15%,119
