ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,92500,31.92%,7417
こめ油,46981,16.21%,3129
ごま油,28076,9.69%,3044
ココナッツオイル,25975,8.96%,2170
亜麻仁油,18509,6.39%,1381
セット・詰め合わせ,16248,5.61%,1584
その他,15734,5.43%,2464
なたね油・キャノーラ油,15448,5.33%,1490
えごま油,9754,3.37%,1068
サラダ油,9054,3.12%,582
グレープシードオイル,4266,1.47%,199
大豆油,2146,0.74%,144
ひまわり油,1042,0.36%,145
椿油,951,0.33%,101
トリュフオイル,936,0.32%,129
アボカドオイル,886,0.31%,114
べに花油,659,0.23%,76
玄米油,410,0.14%,81
ピーナッツオイル,123,0.04%,33
コーン油,53,0.02%,9
マスタードオイル,12,0.00%,3
