ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,511153,30.14%,151599
手帳・ノート・紙製品,213111,12.57%,111083
画材,136016,8.02%,32603
ギフトラッピング用品,102392,6.04%,63160
ファイル・バインダー,92681,5.47%,32746
その他,84861,5.00%,23263
机上収納・整理用品,80794,4.76%,17690
プレゼンテーション用品,78850,4.65%,10141
写真整理用品,78734,4.64%,13341
ラベル・ステッカー,72068,4.25%,34861
はさみ・裁断用品,44560,2.63%,11456
書道用具,39816,2.35%,11470
セロハンテープ・のり・接着剤,39030,2.30%,16944
ブックカバー,27376,1.61%,5942
製図用品,15584,0.92%,6831
クリップ・結束用具,14072,0.83%,8793
名札,13317,0.79%,5037
ホッチキス・穴あきパンチ,10682,0.63%,4322
マグネットシート,9567,0.56%,1626
マグネット,7647,0.45%,4108
紙幣計数機・コインカウンタ,7353,0.43%,390
画鋲・ピン,3482,0.21%,1552
チェックライター・ナンバーリング,3111,0.18%,302
製本機,2667,0.16%,968
ブックマーク・しおり,2404,0.14%,1476
下敷き,1593,0.09%,1483
紙めくり・事務用スポンジ,1575,0.09%,1372
タスキ・腕章,720,0.04%,227
レタースケール,676,0.04%,137
