ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,373381,26.87%,9471
入浴剤,271541,19.54%,26551
ソープボトル・シャンプーボトル,104401,7.51%,8322
整理棚・ラック,98174,7.06%,9173
バスマット,93435,6.72%,9322
その他,77003,5.54%,9631
椅子,67835,4.88%,5066
風呂ふた,67108,4.83%,4090
タオルハンガー,49761,3.58%,5746
自動ソープディスペンサー,46889,3.37%,2092
ボディタオル,22923,1.65%,5902
サウナハット,21898,1.58%,1961
浴槽・浴室内マット,16334,1.18%,1794
洗面器・風呂桶,15290,1.10%,2562
石けんケース・石けん台,12584,0.91%,2787
バス保温器,11113,0.80%,319
ボディスポンジ,9624,0.69%,1833
ボディブラシ,7286,0.52%,1266
セット,7107,0.51%,673
シャワーヘッドホルダー・シャワーフック,6166,0.44%,1282
シャワーカーテン,4592,0.33%,1085
バスピロー,2212,0.16%,408
泡立てネット,1129,0.08%,408
バスブーツ,1054,0.08%,238
軽石,832,0.06%,260
