ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1231873,23.26%,148134
水・炭酸水,1057289,19.96%,31000
コーヒー,963418,18.19%,90744
炭酸飲料,744684,14.06%,30770
野菜・果実飲料,597403,11.28%,31000
スポーツドリンク,217093,4.10%,17282
その他,99771,1.88%,10754
乳酸菌飲料,82725,1.56%,9046
お酢飲料,76746,1.45%,9929
植物性ミルク,68929,1.30%,10226
甘酒,47152,0.89%,6592
ゼリー飲料,37420,0.71%,4735
希釈用ドリンク,27281,0.52%,4508
牛乳,18769,0.35%,2827
スムージー,10927,0.21%,1190
ココア・チョコレートドリンク,8384,0.16%,2291
フルーツ入り乳飲料,2925,0.06%,439
生姜湯,2783,0.05%,388
柚子茶,1448,0.03%,130
