ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1694270,25.10%,38131
その他,1221831,18.10%,30000
ビタミン,586948,8.70%,36910
植物性エキス,583053,8.64%,45329
アミノ酸,531567,7.88%,23544
ファイトケミカル,482421,7.15%,13614
ミネラル,275015,4.07%,24190
プロバイオティクス,219098,3.25%,11257
コラーゲン,199385,2.95%,10663
脂肪酸・オイル,165656,2.45%,10344
酵素,145382,2.15%,10247
食物繊維,140749,2.09%,7546
グルコサミン・コンドロイチン,76614,1.14%,4263
ビタミン・ミネラル混合,73468,1.09%,2768
プラセンタ,70867,1.05%,3734
動物性エキス,64243,0.95%,4137
クエン酸,43993,0.65%,3631
ラクトフェリン,38614,0.57%,997
オリゴ糖,28227,0.42%,2338
ローヤルゼリー,25119,0.37%,1200
ヒアルロン酸,21847,0.32%,1456
動植物性混合エキス,21699,0.32%,1149
プロポリス,19764,0.29%,1977
ミドリムシ,14005,0.21%,785
核酸,5906,0.09%,373
