ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,55580,21.67%,27782
リボン,23167,9.03%,18309
手芸用テープ,20968,8.17%,13486
ファスナー,20292,7.91%,13713
ひも,20254,7.90%,12465
ボタン,16105,6.28%,14015
その他,15887,6.19%,9718
ミシン糸,12784,4.98%,7721
レース,11934,4.65%,11695
接着テープ・接着芯,8201,3.20%,3728
ネームシール,6499,2.53%,2131
持ち手・ハンドル,5512,2.15%,2393
芯地,5163,2.01%,1527
ゴム,5157,2.01%,3655
ホック,4465,1.74%,2573
口金,4418,1.72%,2735
手縫い糸,3927,1.53%,3198
面ファスナー,3742,1.46%,1434
型紙・パターン,3685,1.44%,2422
バックル,2476,0.97%,2374
ブレード,2238,0.87%,2251
裏地,1196,0.47%,603
チェーン,1169,0.46%,863
スパンコール,1114,0.43%,1428
マラボー,384,0.15%,101
肩パット,181,0.07%,134
