ジャンル名,売上指数（千円）,シェア,商品ランク入り数
餃子,301599,66.49%,9929
セット・詰め合わせ,61582,13.58%,2445
その他,28898,6.37%,3839
肉まん,21786,4.80%,2526
小籠包,10348,2.28%,908
シュウマイ,8054,1.78%,1637
スープ,6338,1.40%,1747
角煮,2979,0.66%,607
春巻き,2718,0.60%,513
ちまき,2432,0.54%,473
饅頭,1548,0.34%,598
エビチリ,1408,0.31%,364
麻婆豆腐,1363,0.30%,509
あんまん,845,0.19%,321
酢豚,782,0.17%,273
北京ダック,361,0.08%,107
中華ポテト,217,0.05%,141
蒸し鶏,194,0.04%,144
揚げもち,180,0.04%,142
