ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,815800,37.22%,171812
手帳・ノート・紙製品,311848,14.23%,132664
その他,171830,7.84%,26039
ギフトラッピング用品,110542,5.04%,62567
画材,107153,4.89%,30084
ファイル・バインダー,95436,4.35%,34127
机上収納・整理用品,84752,3.87%,17285
ラベル・ステッカー,76987,3.51%,33532
写真整理用品,72708,3.32%,14126
プレゼンテーション用品,69541,3.17%,8527
書道用具,65288,2.98%,12284
はさみ・裁断用品,43163,1.97%,12385
セロハンテープ・のり・接着剤,41224,1.88%,17306
ブックカバー,25366,1.16%,6634
製図用品,17912,0.82%,7901
クリップ・結束用具,15174,0.69%,8878
ホッチキス・穴あきパンチ,12966,0.59%,5034
名札,11112,0.51%,4227
マグネット,6643,0.30%,3578
マグネットシート,6522,0.30%,1311
紙幣計数機・コインカウンタ,6420,0.29%,304
下敷き,5772,0.26%,3266
画鋲・ピン,4186,0.19%,1371
ブックマーク・しおり,3738,0.17%,1828
製本機,3386,0.15%,1017
チェックライター・ナンバーリング,2474,0.11%,278
紙めくり・事務用スポンジ,2353,0.11%,1643
タスキ・腕章,964,0.04%,218
レタースケール,632,0.03%,155
