ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,70341,14.30%,14942
にんにく,62946,12.79%,6109
その他野菜,45196,9.19%,7686
たまねぎ,39198,7.97%,3919
サツマイモ,36418,7.40%,4208
アスパラガス,31050,6.31%,2525
トマト,29407,5.98%,3252
セット・詰め合わせ,24770,5.03%,2728
とうもろこし,20248,4.11%,1836
ジャガイモ,19874,4.04%,3037
生姜,17878,3.63%,2023
きのこ,17225,3.50%,3910
山菜,15806,3.21%,2462
カット野菜,14262,2.90%,1761
にんじん,13086,2.66%,1522
らっきょう,6938,1.41%,870
その他,6788,1.38%,1706
ねぎ,4341,0.88%,1066
かぼちゃ,2807,0.57%,616
ごぼう,2555,0.52%,780
水煮野菜,2236,0.45%,426
ほうれん草,1950,0.40%,670
キャベツ,1950,0.40%,685
大根,1295,0.26%,552
ナス,923,0.19%,445
里芋,828,0.17%,284
キュウリ,628,0.13%,238
レタス,469,0.10%,240
白菜,458,0.09%,193
ニラ,195,0.04%,91
