ジャンル名,売上指数（千円）,シェア,商品ランク入り数
日用消耗品,3457625,28.90%,121277
文房具・事務用品,1367988,11.44%,532848
生活雑貨,1176090,9.83%,340235
バス用品,1170851,9.79%,103872
手芸・クラフト・生地,1101969,9.21%,473878
防災関連グッズ,672879,5.63%,62388
掃除用品,439881,3.68%,76431
タオル,409161,3.42%,64158
防犯関連グッズ,404864,3.38%,31056
洗濯用品,392955,3.28%,54231
仏壇・仏具・神具,390764,3.27%,52333
その他,336598,2.81%,27609
印鑑・ハンコ,334933,2.80%,73361
トイレ用品,168771,1.41%,18889
旅行用品,85528,0.71%,15114
冠婚葬祭,45694,0.38%,12836
洋服ブラシ・毛玉取り,5611,0.05%,955
アロマ・お香(1703削除),0,0.00%,38740
洗剤・柔軟剤・クリーナー(1703削除),0,0.00%,108518
洗面用具(1703削除),0,0.00%,3295
