ジャンル名,売上指数（千円）,シェア,商品ランク入り数
キッチンスポンジ,72460,49.65%,13122
柄付ブラシ・柄付たわし,22716,15.57%,4961
トイレブラシ,21148,14.49%,4094
浴室掃除用スポンジ,17400,11.92%,3534
たわし,6512,4.46%,2201
その他,4023,2.76%,1589
パイプブラシ,1681,1.15%,520
