ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,294864,23.39%,19543
防災セット・非常用持ちだし袋,238647,18.93%,4548
簡易トイレ,208989,16.58%,5914
その他,76283,6.05%,5518
火災警報器・ガス警報器,73630,5.84%,3594
保存水,55978,4.44%,1873
携帯用浄水器,47747,3.79%,1003
家具転倒防止用品,46600,3.70%,6380
消火器,36182,2.87%,2008
防災ラジオ,27378,2.17%,1253
懐中電灯,25045,1.99%,4230
携帯トイレ,23471,1.86%,1858
メガホン・拡声器,15564,1.23%,979
防災ヘルメット,12956,1.03%,1109
給水用品,11616,0.92%,1746
簡易毛布・寝袋,11117,0.88%,1689
応急手当用品,10384,0.82%,1328
避難はしご,9268,0.74%,482
土嚢,7740,0.61%,449
固形燃料,7239,0.57%,785
防災頭巾,7128,0.57%,1102
笛・ホイッスル,3500,0.28%,1056
発熱・加熱剤,2753,0.22%,650
担架,2557,0.20%,86
ガソリン缶,2476,0.20%,272
放射能測定器・ガイガーカウンター,1266,0.10%,47
防災用ストーブ,61,0.00%,3
