ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,212627,29.99%,14342
ウコン,92352,13.03%,5431
マカ,52659,7.43%,4882
サラシア,49004,6.91%,1705
キノコ・マッシュルーム,43087,6.08%,2193
ブルーベリー,34153,4.82%,3659
スピルリナ,32222,4.55%,1261
高麗人参,26288,3.71%,1234
ノコギリヤシ,24730,3.49%,1831
イチョウ葉,22656,3.20%,2097
クロレラ,18250,2.57%,1166
田七人参,15516,2.19%,797
梅肉,12834,1.81%,1366
フコイダン,12158,1.72%,337
トンカットアリ,12122,1.71%,770
ニンニク,7201,1.02%,833
アサイー,5963,0.84%,448
フォルスコリ,5955,0.84%,715
チアシード,5329,0.75%,569
プエラリア,4764,0.67%,514
セントジョーンズワート,2921,0.41%,642
カプサイシン,2824,0.40%,362
エキナセア,2668,0.38%,436
マキベリー,2335,0.33%,228
ゴジベリー,2143,0.30%,163
じゃばら,1804,0.25%,286
ビーポーレン,1400,0.20%,173
ガラナ,1177,0.17%,105
黒豆,1100,0.16%,62
メシマコブ茸,283,0.04%,18
カムカム,248,0.04%,42
カカオ,116,0.02%,29
バジルシード,24,0.00%,8
