ジャンル名,売上指数（千円）,シェア,商品ランク入り数
サバ,363366,18.19%,4482
加工品,261776,13.10%,22179
サケ,229115,11.47%,9019
セット・詰め合わせ,200791,10.05%,10887
貝類,120665,6.04%,12232
魚卵,116284,5.82%,9774
エビ,113046,5.66%,6441
カニ,101397,5.08%,5092
マグロ,78813,3.94%,4572
イカ,71163,3.56%,9793
海藻類,67843,3.40%,10714
その他水産物,52127,2.61%,6304
その他,46952,2.35%,1720
ウニ,36577,1.83%,2352
アジ,25702,1.29%,1569
カツオ,24819,1.24%,2111
ホッケ,22336,1.12%,990
フグ,16975,0.85%,1367
イワシ,9492,0.48%,2723
タイ,9054,0.45%,1545
タコ,7554,0.38%,1564
ブリ,6670,0.33%,603
タラ,6590,0.33%,1165
生ちりめん・生しらす,3456,0.17%,652
サンマ,2944,0.15%,402
シシャモ,2304,0.12%,391
