ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,170416,23.21%,13984
防災セット・非常用持ちだし袋,130169,17.73%,3149
簡易トイレ,90808,12.37%,4006
火災警報器・ガス警報器,57658,7.85%,3700
その他,55011,7.49%,4297
消火器,32403,4.41%,2019
保存水,27744,3.78%,1353
携帯用浄水器,24783,3.38%,823
家具転倒防止用品,23962,3.26%,4423
懐中電灯,21718,2.96%,3959
メガホン・拡声器,17346,2.36%,1080
防災ラジオ,16180,2.20%,975
応急手当用品,10078,1.37%,1294
携帯トイレ,10027,1.37%,1272
土嚢,7507,1.02%,503
給水用品,7032,0.96%,1184
防災ヘルメット,6727,0.92%,678
避難はしご,5883,0.80%,454
固形燃料,5032,0.69%,582
簡易毛布・寝袋,4481,0.61%,988
ガソリン缶,2255,0.31%,304
担架,2254,0.31%,113
笛・ホイッスル,2179,0.30%,732
発熱・加熱剤,1097,0.15%,342
防災頭巾,1018,0.14%,254
放射能測定器・ガイガーカウンター,321,0.04%,22
防災用ストーブ,130,0.02%,5
