ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,48057,28.92%,8973
こめ油,26917,16.20%,2590
その他,24776,14.91%,3315
ごま油,15269,9.19%,3028
ココナッツオイル,12919,7.77%,2135
亜麻仁油,9393,5.65%,1428
えごま油,8390,5.05%,1526
なたね油・キャノーラ油,7638,4.60%,1561
サラダ油,3505,2.11%,545
セット・詰め合わせ,3338,2.01%,677
グレープシードオイル,2740,1.65%,258
大豆油,981,0.59%,122
アボカドオイル,643,0.39%,150
トリュフオイル,404,0.24%,151
椿油,332,0.20%,135
べに花油,260,0.16%,140
ひまわり油,244,0.15%,165
コーン油,201,0.12%,102
玄米油,94,0.06%,106
ピーナッツオイル,49,0.03%,103
マスタードオイル,15,0.01%,4
