ジャンル名,売上指数（千円）,シェア,商品ランク入り数
手用歯ブラシ,171508,77.79%,23206
電子歯ブラシ・イオン歯ブラシ,21965,9.96%,3437
その他,12615,5.72%,4593
ワンタフトブラシ,11515,5.22%,2154
360度歯ブラシ,1547,0.70%,325
矯正用ブラシ,1319,0.60%,399
