ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,8884,26.21%,1963
山芋・自然薯,5879,17.35%,799
菊芋,4325,12.76%,574
ブロッコリー,3723,10.99%,725
たけのこ,2827,8.34%,304
れんこん,1917,5.66%,533
カリフラワー,859,2.54%,152
明日葉,723,2.13%,107
小松菜,649,1.91%,279
ゴーヤー,627,1.85%,116
行者にんにく,590,1.74%,73
オクラ,565,1.67%,178
セロリ,557,1.64%,123
銀杏,370,1.09%,79
ピーマン,367,1.08%,210
大葉・しそ,226,0.67%,113
かぶ,200,0.59%,102
ヤーコン,166,0.49%,28
パセリ,123,0.36%,68
エシャロット,116,0.34%,36
水菜,71,0.21%,38
春菊,64,0.19%,46
パクチー・コリアンダー,55,0.16%,23
ルッコラ,7,0.02%,4
