ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,16653,28.35%,2823
祝儀袋,14087,23.99%,5496
ふくさ,9809,16.70%,2131
水引,4633,7.89%,1822
風呂敷,3408,5.80%,1053
のし紙,2980,5.07%,1144
ウェルカムボード,2898,4.93%,260
結納品,2414,4.11%,243
香典袋,704,1.20%,330
ゲストブック,513,0.87%,125
席札,258,0.44%,118
招待状,251,0.43%,89
席次表,122,0.21%,32
